"filename", "language", "YAML", "PowerShell", "MS SQL", "Dart", "Markdown", "JSON", "Gradle", "JavaScript", "Swift", "Java Properties", "HTML", "XML", "C++", "Ruby", "TypeScript", "comment", "blank", "total"
"c:\maouidi 22\maouidi\lib\flutter_flow\place.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 55
"c:\maouidi 22\maouidi\lib\flutter_flow\uploaded_file.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 71
"c:\maouidi 22\maouidi\lib\index.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 19
"c:\maouidi 22\maouidi\lib\main.dart", "Dart", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 22, 123
"c:\maouidi 22\maouidi\lib\nav_bar_page.dart", "Dart", 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 207
"c:\maouidi 22\maouidi\lib\pages\privacy_policy_page.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 46
"c:\maouidi 22\maouidi\lib\pages\terms_of_service_page.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 46
"c:\maouidi 22\maouidi\lib\partner_dashboard_page\components\dashboard_helpers.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 68
"c:\maouidi 22\maouidi\lib\partner_dashboard_page\components\homecare_details_view.dart", "Dart", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 80
"c:\maouidi 22\maouidi\lib\partner_dashboard_page\components\now_serving_card.dart", "Dart", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 131
"c:\maouidi 22\maouidi\lib\partner_dashboard_page\partner_dashboard_page_model.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 34
"c:\maouidi 22\maouidi\lib\partner_dashboard_page\partner_dashboard_page_widget.dart", "Dart", 0, 0, 0, 1418, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 80, 1506
"c:\maouidi 22\maouidi\lib\partner_list_page\partner_list_page_model.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\maouidi 22\maouidi\lib\partner_list_page\partner_list_page_widget.dart", "Dart", 0, 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 255
"c:\maouidi 22\maouidi\lib\partner_profile_page\partner_profile_page_model.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\maouidi 22\maouidi\lib\partner_profile_page\partner_profile_page_widget.dart", "Dart", 0, 0, 0, 853, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61, 915
"c:\maouidi 22\maouidi\lib\patient_dashboard\patient_dashboard_model.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 14
"c:\maouidi 22\maouidi\lib\patient_dashboard\patient_dashboard_widget.dart", "Dart", 0, 0, 0, 647, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45, 693
"c:\maouidi 22\maouidi\lib\search\search_results_page.dart", "Dart", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 134
"c:\maouidi 22\maouidi\lib\services\api_service.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 45
"c:\maouidi 22\maouidi\lib\services\notification_service.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 37
"c:\maouidi 22\maouidi\lib\settings_page\components\become_partner_dialog.dart", "Dart", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 162
"c:\maouidi 22\maouidi\lib\settings_page\components\profile_card.dart", "Dart", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 67
"c:\maouidi 22\maouidi\lib\settings_page\components\settings_dialogs.dart", "Dart", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 119
"c:\maouidi 22\maouidi\lib\settings_page\components\settings_group.dart", "Dart", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\maouidi 22\maouidi\lib\settings_page\components\settings_item.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 69
"c:\maouidi 22\maouidi\lib\settings_page\settings_page_model.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 14
"c:\maouidi 22\maouidi\lib\settings_page\settings_page_widget.dart", "Dart", 0, 0, 0, 1079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 62, 1151
"c:\maouidi 22\maouidi\lib\ui\create\create_model.dart", "Dart", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 57
"c:\maouidi 22\maouidi\lib\ui\create\create_widget.dart", "Dart", 0, 0, 0, 573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 598
"c:\maouidi 22\maouidi\lib\ui\forgot_password\forgot_password_model.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 22
"c:\maouidi 22\maouidi\lib\ui\forgot_password\forgot_password_widget.dart", "Dart", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 318
"c:\maouidi 22\maouidi\lib\ui\home_page\home_page_model.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 25
"c:\maouidi 22\maouidi\lib\ui\home_page\home_page_widget.dart", "Dart", 0, 0, 0, 350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 367
